"","LENGTH","WEIGHT","ABUNDANCE","YEAR","SEASON","SURVEY","SURVEY_INITIAL","Age"
"1173",6,0.4,3,2001,"Spring","DredgeDat","D",1
"1174",6.5,0.5,13,2001,"Spring","DredgeDat","D",1
"1175",6.5,0.6,19,2001,"Spring","DredgeDat","D",1
"1176",7,0.6,53,2001,"Spring","DredgeDat","D",1
"1177",7.5,0.6,35,2001,"Spring","DredgeDat","D",1
"1178",7,0.7,15,2001,"Spring","DredgeDat","D",1
"1179",7.5,0.7,12,2001,"Spring","DredgeDat","D",1
"1180",7,0.8,8,2001,"Spring","DredgeDat","D",1
"1181",7.5,0.8,35,2001,"Spring","DredgeDat","D",1
"1182",8,0.8,43,2001,"Spring","DredgeDat","D",1
"1183",7.5,0.9,24,2001,"Spring","DredgeDat","D",1
"1184",8,1,43,2001,"Spring","DredgeDat","D",1
"1185",8.5,1,12,2001,"Spring","DredgeDat","D",1
"1186",8,1.1,11,2001,"Spring","DredgeDat","D",1
"1187",8.5,1.1,24,2001,"Spring","DredgeDat","D",1
"1188",8,1.2,11,2001,"Spring","DredgeDat","D",1
"1189",8.5,1.2,12,2001,"Spring","DredgeDat","D",1
"1190",9,1.2,3,2001,"Spring","DredgeDat","D",1
"1191",8.5,1.3,6,2001,"Spring","DredgeDat","D",1
"1192",9,1.3,7,2001,"Spring","DredgeDat","D",1
"1193",8.5,1.4,6,2001,"Spring","DredgeDat","D",1
"1194",9,1.4,7,2001,"Spring","DredgeDat","D",1
"1195",9,1.6,7,2001,"Spring","DredgeDat","D",1
"1196",9,1.7,4,2001,"Spring","DredgeDat","D",1
"1197",5.5,0.2,1,2002,"Spring","DredgeDat","D",1
"1198",6.5,0.3,1,2002,"Spring","DredgeDat","D",1
"1199",6.5,0.4,3,2002,"Spring","DredgeDat","D",1
"1200",7,0.4,2,2002,"Spring","DredgeDat","D",1
"1201",6.5,0.5,3,2002,"Spring","DredgeDat","D",1
"1202",7,0.5,10,2002,"Spring","DredgeDat","D",1
"1203",6.5,0.6,11,2002,"Spring","DredgeDat","D",1
"1204",7,0.6,15,2002,"Spring","DredgeDat","D",1
"1205",7.5,0.6,5,2002,"Spring","DredgeDat","D",1
"1206",6.5,0.7,1,2002,"Spring","DredgeDat","D",1
"1207",7,0.7,14,2002,"Spring","DredgeDat","D",1
"1208",7.5,0.7,10,2002,"Spring","DredgeDat","D",1
"1209",7.5,0.8,22,2002,"Spring","DredgeDat","D",1
"1210",8,0.8,4,2002,"Spring","DredgeDat","D",1
"1211",7.5,0.9,20,2002,"Spring","DredgeDat","D",1
"1212",8,0.9,10,2002,"Spring","DredgeDat","D",1
"1213",7.5,1,5,2002,"Spring","DredgeDat","D",1
"1214",8,1,17,2002,"Spring","DredgeDat","D",1
"1215",8.5,1,5,2002,"Spring","DredgeDat","D",1
"1216",8,1.1,7,2002,"Spring","DredgeDat","D",1
"1217",8.5,1.1,5,2002,"Spring","DredgeDat","D",1
"1218",8,1.2,7,2002,"Spring","DredgeDat","D",1
"1219",8.5,1.2,16,2002,"Spring","DredgeDat","D",1
"1220",8,1.3,1,2002,"Spring","DredgeDat","D",1
"1221",8.5,1.3,12,2002,"Spring","DredgeDat","D",1
"1222",8.5,1.4,3,2002,"Spring","DredgeDat","D",1
"1223",9,1.4,3,2002,"Spring","DredgeDat","D",1
"1224",8.5,1.5,3,2002,"Spring","DredgeDat","D",1
"1225",9,1.5,6,2002,"Spring","DredgeDat","D",1
"1226",8.5,1.6,2,2002,"Spring","DredgeDat","D",1
"1227",9,1.6,16,2002,"Spring","DredgeDat","D",1
"1228",9.5,1.6,3,2002,"Spring","DredgeDat","D",1
"1229",9,1.7,10,2002,"Spring","DredgeDat","D",1
"1230",9.5,1.7,6,2002,"Spring","DredgeDat","D",1
"1231",9,1.8,3,2002,"Spring","DredgeDat","D",1
"1232",9.5,1.8,3,2002,"Spring","DredgeDat","D",1
"1233",9.5,1.9,6,2002,"Spring","DredgeDat","D",1
"1234",9.5,2,3,2002,"Spring","DredgeDat","D",1
"1235",9.5,2.1,6,2002,"Spring","DredgeDat","D",1
"1236",10,2.1,27,2002,"Spring","DredgeDat","D",1
"1237",9.5,2.2,3,2002,"Spring","DredgeDat","D",1
"1238",9.5,2.3,3,2002,"Spring","DredgeDat","D",1
"1239",10.5,3,9,2002,"Spring","DredgeDat","D",1
"1240",6,0.5,8,2003,"Spring","DredgeDat","D",1
"1241",6.5,0.5,5,2003,"Spring","DredgeDat","D",1
"1242",6.5,0.6,29,2003,"Spring","DredgeDat","D",1
"1243",7,0.6,10,2003,"Spring","DredgeDat","D",1
"1244",6.5,0.7,15,2003,"Spring","DredgeDat","D",1
"1245",7,0.7,24,2003,"Spring","DredgeDat","D",1
"1246",7.5,0.7,2,2003,"Spring","DredgeDat","D",1
"1247",6.5,0.8,5,2003,"Spring","DredgeDat","D",1
"1248",7,0.8,48,2003,"Spring","DredgeDat","D",1
"1249",7.5,0.8,6,2003,"Spring","DredgeDat","D",1
"1250",7,0.9,21,2003,"Spring","DredgeDat","D",1
"1251",7.5,0.9,66,2003,"Spring","DredgeDat","D",1
"1252",7,1,5,2003,"Spring","DredgeDat","D",1
"1253",7.5,1,38,2003,"Spring","DredgeDat","D",1
"1254",8,1,9,2003,"Spring","DredgeDat","D",1
"1255",7.5,1.1,22,2003,"Spring","DredgeDat","D",1
"1256",8,1.1,41,2003,"Spring","DredgeDat","D",1
"1257",8.5,1.1,1,2003,"Spring","DredgeDat","D",1
"1258",7.5,1.2,10,2003,"Spring","DredgeDat","D",1
"1259",8,1.2,37,2003,"Spring","DredgeDat","D",1
"1260",8.5,1.2,11,2003,"Spring","DredgeDat","D",1
"1261",8,1.3,10,2003,"Spring","DredgeDat","D",1
"1262",8.5,1.3,13,2003,"Spring","DredgeDat","D",1
"1263",9,1.3,2,2003,"Spring","DredgeDat","D",1
"1264",8,1.4,9,2003,"Spring","DredgeDat","D",1
"1265",8.5,1.4,19,2003,"Spring","DredgeDat","D",1
"1266",9,1.4,2,2003,"Spring","DredgeDat","D",1
"1267",8,1.5,5,2003,"Spring","DredgeDat","D",1
"1268",8.5,1.5,9,2003,"Spring","DredgeDat","D",1
"1269",9,1.5,2,2003,"Spring","DredgeDat","D",1
"1270",7,1.6,2,2003,"Spring","DredgeDat","D",1
"1271",8,1.6,1,2003,"Spring","DredgeDat","D",1
"1272",8.5,1.6,13,2003,"Spring","DredgeDat","D",1
"1273",9,1.6,13,2003,"Spring","DredgeDat","D",1
"1274",8.5,1.7,10,2003,"Spring","DredgeDat","D",1
"1275",9,1.7,23,2003,"Spring","DredgeDat","D",1
"1276",9.5,1.7,4,2003,"Spring","DredgeDat","D",1
"1277",8.5,1.8,4,2003,"Spring","DredgeDat","D",1
"1278",9,1.8,19,2003,"Spring","DredgeDat","D",1
"1279",9,1.9,8,2003,"Spring","DredgeDat","D",1
"1280",9.5,1.9,18,2003,"Spring","DredgeDat","D",1
"1281",9,2,8,2003,"Spring","DredgeDat","D",1
"1282",9.5,2,29,2003,"Spring","DredgeDat","D",1
"1283",9,2.1,2,2003,"Spring","DredgeDat","D",1
"1284",9.5,2.1,25,2003,"Spring","DredgeDat","D",1
"1285",10,2.1,5,2003,"Spring","DredgeDat","D",1
"1286",9,2.2,2,2003,"Spring","DredgeDat","D",1
"1287",9.5,2.2,16,2003,"Spring","DredgeDat","D",1
"1288",10,2.2,14,2003,"Spring","DredgeDat","D",1
"1289",9.5,2.3,16,2003,"Spring","DredgeDat","D",1
"1290",10,2.3,23,2003,"Spring","DredgeDat","D",1
"1291",9.5,2.4,4,2003,"Spring","DredgeDat","D",1
"1292",10,2.4,23,2003,"Spring","DredgeDat","D",1
"1293",10.5,2.4,9,2003,"Spring","DredgeDat","D",1
"1294",9.5,2.5,4,2003,"Spring","DredgeDat","D",1
"1295",10,2.5,23,2003,"Spring","DredgeDat","D",1
"1296",10.5,2.5,6,2003,"Spring","DredgeDat","D",1
"1297",10,2.6,18,2003,"Spring","DredgeDat","D",1
"1298",10.5,2.6,6,2003,"Spring","DredgeDat","D",1
"1299",11,2.7,1,2003,"Spring","DredgeDat","D",1
"1300",10,2.8,5,2003,"Spring","DredgeDat","D",1
"1301",10.5,2.8,14,2003,"Spring","DredgeDat","D",1
"1302",10.5,2.9,11,2003,"Spring","DredgeDat","D",1
"1303",10.5,3,6,2003,"Spring","DredgeDat","D",1
"1304",11,3,4,2003,"Spring","DredgeDat","D",1
"1305",10.5,3.1,3,2003,"Spring","DredgeDat","D",1
"1306",11,3.1,6,2003,"Spring","DredgeDat","D",1
"1307",10.5,3.2,3,2003,"Spring","DredgeDat","D",1
"1308",11,3.2,4,2003,"Spring","DredgeDat","D",1
"1309",11,3.3,1,2003,"Spring","DredgeDat","D",1
"1310",11.5,3.3,6,2003,"Spring","DredgeDat","D",1
"1311",10.5,3.4,3,2003,"Spring","DredgeDat","D",1
"1312",11,3.4,1,2003,"Spring","DredgeDat","D",1
"1313",5,0.3,1,2004,"Spring","DredgeDat","D",1
"1314",5.5,0.3,1,2004,"Spring","DredgeDat","D",1
"1315",6,0.3,4,2004,"Spring","DredgeDat","D",1
"1316",5,0.4,3,2004,"Spring","DredgeDat","D",1
"1317",5.5,0.4,3,2004,"Spring","DredgeDat","D",1
"1318",6,0.4,17,2004,"Spring","DredgeDat","D",1
"1319",6.5,0.4,3,2004,"Spring","DredgeDat","D",1
"1320",5,0.5,1,2004,"Spring","DredgeDat","D",1
"1321",5.5,0.5,1,2004,"Spring","DredgeDat","D",1
"1322",6,0.5,30,2004,"Spring","DredgeDat","D",1
"1323",6.5,0.5,18,2004,"Spring","DredgeDat","D",1
"1324",7,0.5,4,2004,"Spring","DredgeDat","D",1
"1325",5.5,0.6,3,2004,"Spring","DredgeDat","D",1
"1326",6,0.6,15,2004,"Spring","DredgeDat","D",1
"1327",6.5,0.6,74,2004,"Spring","DredgeDat","D",1
"1328",7,0.6,51,2004,"Spring","DredgeDat","D",1
"1329",5.5,0.7,1,2004,"Spring","DredgeDat","D",1
"1330",6,0.7,4,2004,"Spring","DredgeDat","D",1
"1331",6.5,0.7,32,2004,"Spring","DredgeDat","D",1
"1332",7,0.7,72,2004,"Spring","DredgeDat","D",1
"1333",7.5,0.7,3,2004,"Spring","DredgeDat","D",1
"1334",6,0.8,2,2004,"Spring","DredgeDat","D",1
"1335",6.5,0.8,24,2004,"Spring","DredgeDat","D",1
"1336",7,0.8,107,2004,"Spring","DredgeDat","D",1
"1337",7.5,0.8,45,2004,"Spring","DredgeDat","D",1
"1338",8,0.8,3,2004,"Spring","DredgeDat","D",1
"1339",6.5,0.9,5,2004,"Spring","DredgeDat","D",1
"1340",7,0.9,48,2004,"Spring","DredgeDat","D",1
"1341",7.5,0.9,92,2004,"Spring","DredgeDat","D",1
"1342",8,0.9,25,2004,"Spring","DredgeDat","D",1
"1343",7,1,7,2004,"Spring","DredgeDat","D",1
"1344",7.5,1,46,2004,"Spring","DredgeDat","D",1
"1345",8,1,25,2004,"Spring","DredgeDat","D",1
"1346",8.5,1,6,2004,"Spring","DredgeDat","D",1
"1347",7,1.1,7,2004,"Spring","DredgeDat","D",1
"1348",7.5,1.1,43,2004,"Spring","DredgeDat","D",1
"1349",8,1.1,63,2004,"Spring","DredgeDat","D",1
"1350",8.5,1.1,3,2004,"Spring","DredgeDat","D",1
"1351",7.5,1.2,11,2004,"Spring","DredgeDat","D",1
"1352",8,1.2,64,2004,"Spring","DredgeDat","D",1
"1353",8.5,1.2,18,2004,"Spring","DredgeDat","D",1
"1354",9,1.2,4,2004,"Spring","DredgeDat","D",1
"1355",7.5,1.3,6,2004,"Spring","DredgeDat","D",1
"1356",8,1.3,28,2004,"Spring","DredgeDat","D",1
"1357",8.5,1.3,40,2004,"Spring","DredgeDat","D",1
"1358",9,1.3,4,2004,"Spring","DredgeDat","D",1
"1359",8,1.4,8,2004,"Spring","DredgeDat","D",1
"1360",8.5,1.4,49,2004,"Spring","DredgeDat","D",1
"1361",9,1.4,4,2004,"Spring","DredgeDat","D",1
"1362",8,1.5,8,2004,"Spring","DredgeDat","D",1
"1363",8.5,1.5,39,2004,"Spring","DredgeDat","D",1
"1364",9,1.5,39,2004,"Spring","DredgeDat","D",1
"1365",8.5,1.6,9,2004,"Spring","DredgeDat","D",1
"1366",9,1.6,24,2004,"Spring","DredgeDat","D",1
"1367",8.5,1.7,15,2004,"Spring","DredgeDat","D",1
"1368",9,1.7,59,2004,"Spring","DredgeDat","D",1
"1369",7,1.8,3,2004,"Spring","DredgeDat","D",1
"1370",8.5,1.8,9,2004,"Spring","DredgeDat","D",1
"1371",9,1.8,40,2004,"Spring","DredgeDat","D",1
"1372",9.5,1.8,26,2004,"Spring","DredgeDat","D",1
"1373",9,1.9,12,2004,"Spring","DredgeDat","D",1
"1374",9.5,1.9,15,2004,"Spring","DredgeDat","D",1
"1375",8.5,2,3,2004,"Spring","DredgeDat","D",1
"1376",9,2,8,2004,"Spring","DredgeDat","D",1
"1377",9.5,2,41,2004,"Spring","DredgeDat","D",1
"1378",9,2.1,4,2004,"Spring","DredgeDat","D",1
"1379",9.5,2.1,21,2004,"Spring","DredgeDat","D",1
"1380",10,2.1,19,2004,"Spring","DredgeDat","D",1
"1381",9.5,2.2,10,2004,"Spring","DredgeDat","D",1
"1382",10,2.2,19,2004,"Spring","DredgeDat","D",1
"1383",9,2.3,4,2004,"Spring","DredgeDat","D",1
"1384",9.5,2.3,5,2004,"Spring","DredgeDat","D",1
"1385",10,2.3,29,2004,"Spring","DredgeDat","D",1
"1386",9.5,2.4,11,2004,"Spring","DredgeDat","D",1
"1387",10,2.4,19,2004,"Spring","DredgeDat","D",1
"1388",9.5,2.5,5,2004,"Spring","DredgeDat","D",1
"1389",10,2.5,5,2004,"Spring","DredgeDat","D",1
"1390",10.5,2.5,8,2004,"Spring","DredgeDat","D",1
"1391",10,2.6,10,2004,"Spring","DredgeDat","D",1
"1392",10.5,2.6,8,2004,"Spring","DredgeDat","D",1
"1393",10,2.7,5,2004,"Spring","DredgeDat","D",1
"1394",10.5,2.8,8,2004,"Spring","DredgeDat","D",1
"1395",11,2.8,4,2004,"Spring","DredgeDat","D",1
"1396",10.5,2.9,8,2004,"Spring","DredgeDat","D",1
"1397",11,3,4,2004,"Spring","DredgeDat","D",1
"1398",10.5,3.1,8,2004,"Spring","DredgeDat","D",1
"1399",11,3.4,4,2004,"Spring","DredgeDat","D",1
"1400",6.5,0.8,1,2001,"Summer","DredgeDat","D",1
"1401",8,1,1,2001,"Summer","DredgeDat","D",1
"1402",7.5,1.1,1,2001,"Summer","DredgeDat","D",1
"1403",8,1.1,1,2001,"Summer","DredgeDat","D",1
"1404",8.5,1.2,1,2001,"Summer","DredgeDat","D",1
"1405",8.5,1.3,1,2001,"Summer","DredgeDat","D",1
"1406",7.5,1.4,1,2001,"Summer","DredgeDat","D",1
"1407",8.5,1.4,1,2001,"Summer","DredgeDat","D",1
"1408",7.5,1.5,1,2001,"Summer","DredgeDat","D",1
"1409",8.5,1.5,2,2001,"Summer","DredgeDat","D",1
"1410",7.5,1.6,2,2001,"Summer","DredgeDat","D",1
"1411",8,1.6,2,2001,"Summer","DredgeDat","D",1
"1412",8,1.7,2,2001,"Summer","DredgeDat","D",1
"1413",8.5,1.7,1,2001,"Summer","DredgeDat","D",1
"1414",7.5,1.8,1,2001,"Summer","DredgeDat","D",1
"1415",8,1.8,4,2001,"Summer","DredgeDat","D",1
"1416",8.5,1.8,1,2001,"Summer","DredgeDat","D",1
"1417",9,1.8,2,2001,"Summer","DredgeDat","D",1
"1418",8,1.9,4,2001,"Summer","DredgeDat","D",1
"1419",8.5,1.9,1,2001,"Summer","DredgeDat","D",1
"1420",8,2,2,2001,"Summer","DredgeDat","D",1
"1421",8.5,2,2,2001,"Summer","DredgeDat","D",1
"1422",8,2.1,2,2001,"Summer","DredgeDat","D",1
"1423",8.5,2.1,2,2001,"Summer","DredgeDat","D",1
"1424",9,2.1,2,2001,"Summer","DredgeDat","D",1
"1425",8.5,2.2,3,2001,"Summer","DredgeDat","D",1
"1426",9,2.2,9,2001,"Summer","DredgeDat","D",1
"1427",9.5,2.2,4,2001,"Summer","DredgeDat","D",1
"1428",8.5,2.3,3,2001,"Summer","DredgeDat","D",1
"1429",9,2.3,13,2001,"Summer","DredgeDat","D",1
"1430",9.5,2.3,8,2001,"Summer","DredgeDat","D",1
"1431",9,2.4,4,2001,"Summer","DredgeDat","D",1
"1432",10,2.4,5,2001,"Summer","DredgeDat","D",1
"1433",8,2.5,1,2001,"Summer","DredgeDat","D",1
"1434",9,2.5,9,2001,"Summer","DredgeDat","D",1
"1435",9.5,2.5,15,2001,"Summer","DredgeDat","D",1
"1436",10.5,2.5,3,2001,"Summer","DredgeDat","D",1
"1437",9,2.6,2,2001,"Summer","DredgeDat","D",1
"1438",9.5,2.6,4,2001,"Summer","DredgeDat","D",1
"1439",10,2.6,9,2001,"Summer","DredgeDat","D",1
"1440",8.5,2.7,1,2001,"Summer","DredgeDat","D",1
"1441",9,2.7,7,2001,"Summer","DredgeDat","D",1
"1442",9.5,2.7,19,2001,"Summer","DredgeDat","D",1
"1443",10,2.7,5,2001,"Summer","DredgeDat","D",1
"1444",10.5,2.7,3,2001,"Summer","DredgeDat","D",1
"1445",9,2.8,7,2001,"Summer","DredgeDat","D",1
"1446",9.5,2.8,27,2001,"Summer","DredgeDat","D",1
"1447",10,2.8,10,2001,"Summer","DredgeDat","D",1
"1448",9,2.9,2,2001,"Summer","DredgeDat","D",1
"1449",9.5,2.9,27,2001,"Summer","DredgeDat","D",1
"1450",10,2.9,15,2001,"Summer","DredgeDat","D",1
"1451",9,3,2,2001,"Summer","DredgeDat","D",1
"1452",9.5,3,35,2001,"Summer","DredgeDat","D",1
"1453",10,3,14,2001,"Summer","DredgeDat","D",1
"1454",11,3,2,2001,"Summer","DredgeDat","D",1
"1455",9.5,3.1,23,2001,"Summer","DredgeDat","D",1
"1456",10,3.1,19,2001,"Summer","DredgeDat","D",1
"1457",9.5,3.2,12,2001,"Summer","DredgeDat","D",1
"1458",10,3.2,19,2001,"Summer","DredgeDat","D",1
"1459",10,3.3,39,2001,"Summer","DredgeDat","D",1
"1460",10.5,3.3,9,2001,"Summer","DredgeDat","D",1
"1461",10,3.4,39,2001,"Summer","DredgeDat","D",1
"1462",10.5,3.4,20,2001,"Summer","DredgeDat","D",1
"1463",11,3.4,2,2001,"Summer","DredgeDat","D",1
"1464",10,3.5,15,2001,"Summer","DredgeDat","D",1
"1465",10.5,3.5,9,2001,"Summer","DredgeDat","D",1
"1466",10,3.6,25,2001,"Summer","DredgeDat","D",1
"1467",10.5,3.6,12,2001,"Summer","DredgeDat","D",1
"1468",11,3.6,4,2001,"Summer","DredgeDat","D",1
"1469",10.5,3.7,9,2001,"Summer","DredgeDat","D",1
"1470",11,3.7,2,2001,"Summer","DredgeDat","D",1
"1471",10,3.8,10,2001,"Summer","DredgeDat","D",1
"1472",10.5,3.8,23,2001,"Summer","DredgeDat","D",1
"1473",11,3.8,4,2001,"Summer","DredgeDat","D",1
"1474",10,3.9,5,2001,"Summer","DredgeDat","D",1
"1475",10.5,3.9,9,2001,"Summer","DredgeDat","D",1
"1476",11,3.9,4,2001,"Summer","DredgeDat","D",1
"1477",10.5,4,12,2001,"Summer","DredgeDat","D",1
"1478",11,4,6,2001,"Summer","DredgeDat","D",1
"1479",10.5,4.1,17,2001,"Summer","DredgeDat","D",1
"1480",11,4.1,4,2001,"Summer","DredgeDat","D",1
"1481",10.5,4.2,15,2001,"Summer","DredgeDat","D",1
"1482",11,4.2,12,2001,"Summer","DredgeDat","D",1
"1483",10.5,4.3,3,2001,"Summer","DredgeDat","D",1
"1484",11,4.3,4,2001,"Summer","DredgeDat","D",1
"1485",11,4.4,8,2001,"Summer","DredgeDat","D",1
"1486",11.5,4.4,3,2001,"Summer","DredgeDat","D",1
"1487",11,4.5,8,2001,"Summer","DredgeDat","D",1
"1488",11.5,4.5,4,2001,"Summer","DredgeDat","D",1
"1489",11,4.6,2,2001,"Summer","DredgeDat","D",1
"1490",11.5,4.6,4,2001,"Summer","DredgeDat","D",1
"1491",11,4.7,2,2001,"Summer","DredgeDat","D",1
"1492",11.5,4.7,4,2001,"Summer","DredgeDat","D",1
"1493",11.5,4.8,4,2001,"Summer","DredgeDat","D",1
"1494",10.5,4.9,3,2001,"Summer","DredgeDat","D",1
"1495",11,4.9,4,2001,"Summer","DredgeDat","D",1
"1496",11.5,4.9,4,2001,"Summer","DredgeDat","D",1
"1497",11,5,4,2001,"Summer","DredgeDat","D",1
"1498",11.5,5,4,2001,"Summer","DredgeDat","D",1
"1499",11.5,5.1,7,2001,"Summer","DredgeDat","D",1
"1500",11,5.2,2,2001,"Summer","DredgeDat","D",1
"1501",11.5,5.2,3,2001,"Summer","DredgeDat","D",1
"1502",12,5.2,1,2001,"Summer","DredgeDat","D",1
"1503",11.5,5.3,4,2001,"Summer","DredgeDat","D",1
"1504",12,5.3,1,2001,"Summer","DredgeDat","D",1
"1505",11.5,5.5,3,2001,"Summer","DredgeDat","D",1
"1506",12,5.5,1,2001,"Summer","DredgeDat","D",1
"1507",12,5.6,5,2001,"Summer","DredgeDat","D",1
"1508",12.5,5.6,1,2001,"Summer","DredgeDat","D",1
"1509",12,5.7,1,2001,"Summer","DredgeDat","D",1
"1510",12,5.8,1,2001,"Summer","DredgeDat","D",1
"1511",12,5.9,1,2001,"Summer","DredgeDat","D",1
"1512",12.5,5.9,1,2001,"Summer","DredgeDat","D",1
"1513",12,6,3,2001,"Summer","DredgeDat","D",1
"1514",12,6.1,1,2001,"Summer","DredgeDat","D",1
"1515",12.5,6.1,2,2001,"Summer","DredgeDat","D",1
"1516",12,6.2,2,2001,"Summer","DredgeDat","D",1
"1517",12.5,6.7,2,2001,"Summer","DredgeDat","D",1
"1518",12,7,1,2001,"Summer","DredgeDat","D",1
"1519",12.5,7,1,2001,"Summer","DredgeDat","D",1
"1520",12.5,7.4,1,2001,"Summer","DredgeDat","D",1
"1521",13,7.5,2,2001,"Summer","DredgeDat","D",1
"1522",13.5,7.9,1,2001,"Summer","DredgeDat","D",1
"1523",13,9.2,1,2001,"Summer","DredgeDat","D",1
"1524",8.5,1.8,1,2002,"Summer","DredgeDat","D",1
"1525",9,1.9,1,2002,"Summer","DredgeDat","D",1
"1526",9,2,1,2002,"Summer","DredgeDat","D",1
"1527",8.5,2.1,3,2002,"Summer","DredgeDat","D",1
"1528",9,2.1,7,2002,"Summer","DredgeDat","D",1
"1529",9.5,2.1,1,2002,"Summer","DredgeDat","D",1
"1530",9,2.2,2,2002,"Summer","DredgeDat","D",1
"1531",9.5,2.2,1,2002,"Summer","DredgeDat","D",1
"1532",9,2.3,6,2002,"Summer","DredgeDat","D",1
"1533",9.5,2.3,2,2002,"Summer","DredgeDat","D",1
"1534",9,2.4,3,2002,"Summer","DredgeDat","D",1
"1535",9.5,2.4,6,2002,"Summer","DredgeDat","D",1
"1536",9,2.5,2,2002,"Summer","DredgeDat","D",1
"1537",9.5,2.5,5,2002,"Summer","DredgeDat","D",1
"1538",10,2.5,2,2002,"Summer","DredgeDat","D",1
"1539",8.5,2.6,1,2002,"Summer","DredgeDat","D",1
"1540",9,2.6,2,2002,"Summer","DredgeDat","D",1
"1541",9.5,2.6,7,2002,"Summer","DredgeDat","D",1
"1542",10,2.6,2,2002,"Summer","DredgeDat","D",1
"1543",9,2.7,2,2002,"Summer","DredgeDat","D",1
"1544",9.5,2.7,4,2002,"Summer","DredgeDat","D",1
"1545",10,2.7,7,2002,"Summer","DredgeDat","D",1
"1546",9,2.8,1,2002,"Summer","DredgeDat","D",1
"1547",9.5,2.8,7,2002,"Summer","DredgeDat","D",1
"1548",10,2.8,10,2002,"Summer","DredgeDat","D",1
"1549",9.5,2.9,2,2002,"Summer","DredgeDat","D",1
"1550",10,2.9,13,2002,"Summer","DredgeDat","D",1
"1551",10.5,2.9,1,2002,"Summer","DredgeDat","D",1
"1552",9.5,3,4,2002,"Summer","DredgeDat","D",1
"1553",10,3,23,2002,"Summer","DredgeDat","D",1
"1554",10.5,3,8,2002,"Summer","DredgeDat","D",1
"1555",10,3.1,11,2002,"Summer","DredgeDat","D",1
"1556",10.5,3.1,9,2002,"Summer","DredgeDat","D",1
"1557",11,3.1,1,2002,"Summer","DredgeDat","D",1
"1558",9.5,3.2,2,2002,"Summer","DredgeDat","D",1
"1559",10,3.2,7,2002,"Summer","DredgeDat","D",1
"1560",10.5,3.2,10,2002,"Summer","DredgeDat","D",1
"1561",9.5,3.3,1,2002,"Summer","DredgeDat","D",1
"1562",10,3.3,9,2002,"Summer","DredgeDat","D",1
"1563",10.5,3.3,11,2002,"Summer","DredgeDat","D",1
"1564",11,3.3,2,2002,"Summer","DredgeDat","D",1
"1565",9.5,3.4,1,2002,"Summer","DredgeDat","D",1
"1566",10,3.4,2,2002,"Summer","DredgeDat","D",1
"1567",10.5,3.4,9,2002,"Summer","DredgeDat","D",1
"1568",11,3.4,1,2002,"Summer","DredgeDat","D",1
"1569",9.5,3.5,1,2002,"Summer","DredgeDat","D",1
"1570",10,3.5,1,2002,"Summer","DredgeDat","D",1
"1571",10.5,3.5,6,2002,"Summer","DredgeDat","D",1
"1572",11,3.5,3,2002,"Summer","DredgeDat","D",1
"1573",10,3.6,1,2002,"Summer","DredgeDat","D",1
"1574",10.5,3.6,6,2002,"Summer","DredgeDat","D",1
"1575",11,3.6,4,2002,"Summer","DredgeDat","D",1
"1576",10,3.7,2,2002,"Summer","DredgeDat","D",1
"1577",10.5,3.7,3,2002,"Summer","DredgeDat","D",1
"1578",11,3.7,3,2002,"Summer","DredgeDat","D",1
"1579",10.5,3.8,1,2002,"Summer","DredgeDat","D",1
"1580",11,3.8,5,2002,"Summer","DredgeDat","D",1
"1581",11.5,3.8,1,2002,"Summer","DredgeDat","D",1
"1582",10.5,3.9,1,2002,"Summer","DredgeDat","D",1
"1583",11,3.9,7,2002,"Summer","DredgeDat","D",1
"1584",11.5,3.9,2,2002,"Summer","DredgeDat","D",1
"1585",11,4,7,2002,"Summer","DredgeDat","D",1
"1586",11.5,4,3,2002,"Summer","DredgeDat","D",1
"1587",11.5,4.1,3,2002,"Summer","DredgeDat","D",1
"1588",11,4.2,4,2002,"Summer","DredgeDat","D",1
"1589",11.5,4.2,3,2002,"Summer","DredgeDat","D",1
"1590",11,4.3,1,2002,"Summer","DredgeDat","D",1
"1591",11.5,4.3,3,2002,"Summer","DredgeDat","D",1
"1592",11,4.4,1,2002,"Summer","DredgeDat","D",1
"1593",11.5,4.4,3,2002,"Summer","DredgeDat","D",1
"1594",11.5,4.6,4,2002,"Summer","DredgeDat","D",1
"1595",11.5,4.7,3,2002,"Summer","DredgeDat","D",1
"1596",12,4.7,2,2002,"Summer","DredgeDat","D",1
"1597",11,4.8,1,2002,"Summer","DredgeDat","D",1
"1598",11.5,4.8,1,2002,"Summer","DredgeDat","D",1
"1599",11.5,4.9,1,2002,"Summer","DredgeDat","D",1
"1600",11.5,5,1,2002,"Summer","DredgeDat","D",1
"1601",12,5.1,2,2002,"Summer","DredgeDat","D",1
"1602",11,5.2,1,2002,"Summer","DredgeDat","D",1
"1603",11.5,5.2,3,2002,"Summer","DredgeDat","D",1
"1604",12,5.2,2,2002,"Summer","DredgeDat","D",1
"1605",12,5.4,2,2002,"Summer","DredgeDat","D",1
"1606",12,5.5,5,2002,"Summer","DredgeDat","D",1
"1607",11.5,5.6,1,2002,"Summer","DredgeDat","D",1
"1608",12,5.6,2,2002,"Summer","DredgeDat","D",1
"1609",12,5.7,5,2002,"Summer","DredgeDat","D",1
"1610",13,6.4,6,2002,"Summer","DredgeDat","D",1
